t_s,seed1,seed2,seed3,seed4,seed5
2,0.048350,0.033513,0.072401,0.096258,0.117861
4,0.001069,0.000903,0.012396,0.004077,0.017919
6,0.000171,0.000093,0.003139,0.000746,0.004318
8,0.000049,0.000033,0.000609,0.000174,0.001190
10,0.000028,0.000031,0.000156,0.000053,0.000321
12,0.000028,0.000032,0.000051,0.000034,0.000104
14,0.000031,0.000031,0.000035,0.000033,0.000049
16,0.000034,0.000031,0.000033,0.000032,0.000038
18,0.000034,0.000032,0.000031,0.000035,0.000034
20,0.000033,0.000033,0.000030,0.000032,0.000033
22,0.000034,0.000034,0.000033,0.000033,0.000034
24,0.000032,0.000036,0.000032,0.000034,0.000036
26,0.000033,0.000033,0.000032,0.000034,0.000034
28,0.000034,0.000032,0.000034,0.000034,0.000035
30,0.000034,0.000033,0.000033,0.000033,0.000033
32,0.000034,0.000033,0.000033,0.000033,0.000032
34,0.000035,0.000033,0.000033,0.000035,0.000034
36,0.000033,0.000032,0.000033,0.000037,0.000033
38,0.000033,0.000033,0.000032,0.000035,0.000033
40,0.000034,0.000033,0.000033,0.000033,0.000039
42,0.000034,0.000033,0.000034,0.000035,0.000035
44,0.000035,0.000033,0.000032,0.000037,0.000032
46,0.000034,0.000032,0.000033,0.000032,0.000034
48,0.000033,0.000035,0.000036,0.000033,0.000035
50,0.000034,0.000033,0.000033,0.000034,0.000033
52,0.000032,0.000033,0.000034,0.000034,0.000033
54,0.000033,0.000034,0.000034,0.000032,0.000033
56,0.000034,0.000037,0.000035,0.000034,0.000033
58,0.000036,0.000033,0.000033,0.000034,0.000033
60,0.000035,0.000034,0.000034,0.000032,0.000034
