t_s,seed1,seed2,seed3,seed4,seed5
2,0.028703,0.020261,0.020710,0.053620,0.021946
4,0.000371,0.000404,0.001463,0.003850,0.000310
6,0.000047,0.000057,0.000161,0.000493,0.000198
8,0.000058,0.000080,0.000113,0.000197,0.000180
10,0.000071,0.000091,0.000097,0.000123,0.000145
12,0.000080,0.000092,0.000092,0.000101,0.000119
14,0.000084,0.000091,0.000090,0.000093,0.000104
16,0.000086,0.000090,0.000089,0.000090,0.000096
18,0.000087,0.000089,0.000089,0.000089,0.000092
20,0.000088,0.000089,0.000088,0.000089,0.000090
22,0.000088,0.000089,0.000088,0.000089,0.000089
24,0.000088,0.000089,0.000088,0.000088,0.000089
26,0.000088,0.000088,0.000088,0.000088,0.000089
28,0.000088,0.000088,0.000088,0.000088,0.000089
30,0.000088,0.000088,0.000088,0.000088,0.000088
32,0.000088,0.000088,0.000088,0.000088,0.000088
34,0.000088,0.000088,0.000088,0.000088,0.000088
36,0.000088,0.000088,0.000088,0.000088,0.000088
38,0.000088,0.000088,0.000088,0.000088,0.000088
40,0.000088,0.000088,0.000088,0.000088,0.000088
42,0.000088,0.000088,0.000088,0.000088,0.000088
44,0.000088,0.000088,0.000088,0.000088,0.000088
46,0.000088,0.000088,0.000088,0.000088,0.000088
48,0.000088,0.000088,0.000088,0.000088,0.000088
50,0.000088,0.000088,0.000088,0.000088,0.000088
52,0.000088,0.000088,0.000088,0.000088,0.000088
54,0.000088,0.000088,0.000088,0.000088,0.000088
56,0.000088,0.000088,0.000088,0.000088,0.000088
58,0.000088,0.000088,0.000088,0.000088,0.000088
60,0.000088,0.000088,0.000088,0.000088,0.000088
