t_s,seed1,seed2,seed3,seed4,seed5
2,0.030461,0.032854,0.022318,0.026734,0.040416
4,0.001206,0.003006,0.002352,0.008242,0.012570
6,0.000284,0.000513,0.000331,0.000826,0.003100
8,0.000076,0.000215,0.000160,0.000186,0.001073
10,0.000055,0.000133,0.000105,0.000087,0.000462
12,0.000063,0.000103,0.000078,0.000072,0.000213
14,0.000078,0.000084,0.000075,0.000082,0.000129
16,0.000065,0.000100,0.000070,0.000069,0.000110
18,0.000064,0.000075,0.000069,0.000085,0.000089
20,0.000074,0.000075,0.000075,0.000075,0.000084
22,0.000077,0.000071,0.000076,0.000076,0.000086
24,0.000082,0.000082,0.000087,0.000082,0.000082
26,0.000070,0.000074,0.000073,0.000089,0.000075
28,0.000075,0.000075,0.000080,0.000075,0.000080
30,0.000075,0.000076,0.000067,0.000068,0.000080
32,0.000082,0.000076,0.000089,0.000075,0.000082
34,0.000082,0.000070,0.000070,0.000071,0.000073
36,0.000080,0.000080,0.000073,0.000071,0.000076
38,0.000068,0.000080,0.000072,0.000078,0.000089
40,0.000081,0.000072,0.000085,0.000082,0.000075
42,0.000070,0.000078,0.000084,0.000064,0.000088
44,0.000084,0.000067,0.000088,0.000084,0.000072
46,0.000073,0.000072,0.000086,0.000070,0.000075
48,0.000071,0.000071,0.000077,0.000071,0.000074
50,0.000069,0.000077,0.000084,0.000069,0.000085
52,0.000084,0.000076,0.000075,0.000079,0.000075
54,0.000073,0.000088,0.000070,0.000075,0.000087
56,0.000094,0.000075,0.000070,0.000096,0.000076
58,0.000078,0.000076,0.000075,0.000086,0.000078
60,0.000093,0.000081,0.000067,0.000088,0.000077
