t_s,seed1,seed2,seed3,seed4,seed5
2,0.043805,0.058649,0.052648,0.091365,0.135150
4,0.000432,0.000384,0.001548,0.003251,0.009692
6,0.000072,0.000039,0.000179,0.000247,0.000596
8,0.000038,0.000039,0.000041,0.000035,0.000089
10,0.000038,0.000039,0.000038,0.000036,0.000013
12,0.000040,0.000039,0.000039,0.000038,0.000032
14,0.000039,0.000039,0.000040,0.000040,0.000040
16,0.000038,0.000039,0.000039,0.000039,0.000039
18,0.000039,0.000038,0.000039,0.000039,0.000040
20,0.000039,0.000040,0.000039,0.000039,0.000039
22,0.000039,0.000039,0.000039,0.000040,0.000038
24,0.000038,0.000038,0.000038,0.000039,0.000040
26,0.000040,0.000039,0.000039,0.000038,0.000040
28,0.000039,0.000040,0.000039,0.000039,0.000039
30,0.000038,0.000039,0.000039,0.000039,0.000038
32,0.000039,0.000038,0.000039,0.000038,0.000040
34,0.000039,0.000040,0.000039,0.000038,0.000039
36,0.000038,0.000039,0.000038,0.000040,0.000039
38,0.000039,0.000038,0.000038,0.000039,0.000040
40,0.000039,0.000040,0.000040,0.000038,0.000040
42,0.000039,0.000040,0.000039,0.000040,0.000039
44,0.000038,0.000038,0.000038,0.000039,0.000039
46,0.000040,0.000040,0.000040,0.000038,0.000040
48,0.000039,0.000040,0.000040,0.000040,0.000039
50,0.000038,0.000039,0.000039,0.000040,0.000038
52,0.000039,0.000038,0.000038,0.000039,0.000040
54,0.000040,0.000039,0.000039,0.000039,0.000039
56,0.000040,0.000040,0.000039,0.000040,0.000038
58,0.000039,0.000038,0.000038,0.000039,0.000039
60,0.000040,0.000039,0.000039,0.000039,0.000039
