t_s,seed1,seed2,seed3,seed4,seed5
2,0.164766,0.218347,0.311637,0.233128,0.334493
4,0.043763,0.059916,0.062992,0.071792,0.112820
6,0.032296,0.046404,0.014467,0.045583,0.033833
8,0.023347,0.039177,0.005825,0.024829,0.010220
10,0.017733,0.031835,0.003295,0.019532,0.006365
12,0.015098,0.025916,0.002768,0.014368,0.004647
14,0.012514,0.021239,0.002554,0.010743,0.005942
16,0.010390,0.017984,0.003127,0.009288,0.007518
18,0.009518,0.016060,0.003266,0.008617,0.006917
20,0.009038,0.014671,0.003686,0.007140,0.007649
22,0.008838,0.013688,0.004136,0.007142,0.007351
24,0.008651,0.012337,0.004661,0.006828,0.003998
26,0.008576,0.011517,0.005140,0.006742,0.003495
28,0.008735,0.010944,0.005608,0.006630,0.003745
30,0.008886,0.010448,0.006264,0.006607,0.004218
32,0.008992,0.009965,0.007159,0.006670,0.004890
34,0.008723,0.009385,0.007973,0.006856,0.005709
36,0.008412,0.009177,0.008252,0.007284,0.006622
38,0.008027,0.009291,0.008143,0.007650,0.007439
40,0.007799,0.009433,0.007878,0.007826,0.007771
42,0.007564,0.009383,0.007658,0.007919,0.007274
44,0.007393,0.009776,0.007404,0.007622,0.006976
46,0.007268,0.009875,0.007202,0.007298,0.006852
48,0.007205,0.009754,0.006976,0.007254,0.006888
50,0.007087,0.009576,0.006909,0.007441,0.005382
52,0.007016,0.009471,0.004502,0.007887,0.003765
54,0.006999,0.009258,0.003760,0.008315,0.003916
56,0.006921,0.009098,0.004073,0.008847,0.004473
58,0.006909,0.008973,0.004646,0.009137,0.005158
60,0.006470,0.008912,0.005397,0.009221,0.005985
