t_s,seed1,seed2,seed3,seed4,seed5
2,0.246150,0.405317,0.249839,0.364419,0.364079
4,0.127205,0.060490,0.045744,0.161295,0.075604
6,0.103651,0.017710,0.025325,0.087944,0.048186
8,0.089806,0.011478,0.022280,0.019058,0.040903
10,0.080803,0.009142,0.019710,0.007348,0.036635
12,0.073330,0.007617,0.018864,0.003623,0.035474
14,0.065626,0.007066,0.026695,0.003093,0.034038
16,0.058942,0.006938,0.029863,0.003506,0.032394
18,0.053029,0.007523,0.030585,0.004625,0.030076
20,0.047127,0.008580,0.027847,0.006292,0.029716
22,0.042944,0.009467,0.023618,0.007862,0.030931
24,0.038685,0.010434,0.022727,0.009884,0.029174
26,0.031460,0.011134,0.028056,0.011968,0.027934
28,0.025456,0.012173,0.042459,0.014117,0.025992
30,0.021764,0.013270,0.072958,0.016238,0.025182
32,0.020559,0.014400,0.077045,0.017978,0.023705
34,0.021273,0.015104,0.021293,0.018990,0.024334
36,0.023045,0.015670,0.015574,0.019433,0.026197
38,0.026285,0.015357,0.008444,0.019650,0.027860
40,0.031373,0.014643,0.005271,0.018949,0.029851
42,0.035575,0.014954,0.005420,0.019223,0.033255
44,0.044272,0.015314,0.005489,0.019759,0.038939
46,0.055688,0.015907,0.005888,0.020735,0.049462
48,0.069170,0.016558,0.006293,0.021801,0.062379
50,0.084230,0.017281,0.006483,0.022909,0.076757
52,0.101313,0.018200,0.006994,0.023979,0.092986
54,0.120269,0.019160,0.007673,0.025032,0.114835
56,0.141390,0.020310,0.008694,0.025400,0.138605
58,0.164632,0.021517,0.009194,0.022823,0.161109
60,0.189189,0.022793,0.009380,0.022875,0.185661
