t_s,seed1,seed2,seed3,seed4,seed5
2,0.301076,0.402506,0.375399,0.272813,0.423226
4,0.073302,0.063223,0.116138,0.110717,0.107109
6,0.037209,0.031694,0.080684,0.038350,0.036203
8,0.029255,0.015121,0.065984,0.021144,0.030904
10,0.027410,0.008102,0.035308,0.014896,0.032165
12,0.030583,0.007150,0.009212,0.010945,0.015193
14,0.033085,0.008635,0.005796,0.006436,0.007610
16,0.031751,0.007747,0.003893,0.004044,0.006760
18,0.030986,0.007086,0.002690,0.003589,0.006952
20,0.015209,0.006918,0.002414,0.004645,0.006964
22,0.008768,0.007063,0.003255,0.005387,0.006924
24,0.004350,0.006924,0.004431,0.006142,0.006908
26,0.004469,0.006899,0.004927,0.006721,0.006894
28,0.007322,0.006908,0.006137,0.006815,0.006912
30,0.006854,0.006907,0.006750,0.006876,0.006908
32,0.006821,0.006901,0.006850,0.006966,0.006903
34,0.006823,0.006907,0.006924,0.006913,0.006908
36,0.006839,0.006894,0.006953,0.006883,0.006898
38,0.006881,0.006907,0.006890,0.006891,0.006888
40,0.006890,0.006917,0.006873,0.006911,0.006922
42,0.006913,0.006886,0.006899,0.006894,0.006899
44,0.006896,0.006911,0.006928,0.006921,0.006892
46,0.006903,0.006915,0.006911,0.006925,0.006917
48,0.006907,0.006890,0.006894,0.006881,0.006907
50,0.006896,0.006898,0.006911,0.006909,0.006889
52,0.006896,0.006933,0.006903,0.006921,0.006919
54,0.006913,0.006891,0.006897,0.006892,0.006914
56,0.006897,0.006891,0.006907,0.006898,0.006884
58,0.006919,0.006919,0.006917,0.006917,0.006909
60,0.006924,0.006897,0.006901,0.006884,0.006899
