t_s,seed1,seed2,seed3,seed4,seed5
2,0.173468,0.250415,0.239879,0.211192,0.333675
4,0.056685,0.107895,0.132702,0.047894,0.116816
6,0.034762,0.030501,0.084902,0.016910,0.026714
8,0.022980,0.014213,0.035691,0.004316,0.012701
10,0.014920,0.005740,0.022474,0.002107,0.004711
12,0.009145,0.001880,0.016699,0.001559,0.002593
14,0.005863,0.000998,0.013113,0.001578,0.001918
16,0.004419,0.001061,0.010809,0.001753,0.001490
18,0.003874,0.001312,0.008314,0.001662,0.001189
20,0.003492,0.001531,0.006400,0.001419,0.001116
22,0.003315,0.001773,0.004960,0.001320,0.001096
24,0.003443,0.002091,0.004012,0.001256,0.001078
26,0.003687,0.002519,0.003541,0.001247,0.001122
28,0.003864,0.003039,0.003404,0.001607,0.001164
30,0.004093,0.003660,0.003666,0.002151,0.001096
32,0.004149,0.004380,0.003833,0.002741,0.001004
34,0.004390,0.005236,0.003866,0.003004,0.001043
36,0.004774,0.006183,0.003864,0.001526,0.001265
38,0.005268,0.007246,0.003858,0.001206,0.001605
40,0.006406,0.008209,0.003787,0.001139,0.002127
42,0.006862,0.009339,0.003585,0.001107,0.002778
44,0.008388,0.011388,0.003441,0.001085,0.002899
46,0.009864,0.012289,0.003343,0.001082,0.001437
48,0.010320,0.014503,0.003234,0.001057,0.001199
50,0.012166,0.016589,0.003282,0.001061,0.001125
52,0.012426,0.016751,0.003430,0.001063,0.001090
54,0.014121,0.021825,0.003758,0.001080,0.001076
56,0.017224,0.020481,0.004324,0.001081,0.001068
58,0.016293,0.022926,0.004880,0.001084,0.001059
60,0.020747,0.029474,0.005420,0.001081,0.001079
