t_s,seed1,seed2,seed3,seed4,seed5
2,0.141791,0.027573,0.164440,0.053141,0.091528
4,0.007184,0.000966,0.001395,0.000992,0.002494
6,0.000915,0.001138,0.001223,0.001073,0.001269
8,0.001125,0.001109,0.001103,0.001117,0.001121
10,0.001110,0.001111,0.001112,0.001110,0.001112
12,0.001111,0.001110,0.001110,0.001111,0.001110
14,0.001110,0.001110,0.001110,0.001110,0.001110
16,0.001110,0.001110,0.001110,0.001110,0.001110
18,0.001110,0.001110,0.001110,0.001110,0.001110
20,0.001110,0.001110,0.001110,0.001110,0.001110
22,0.001110,0.001110,0.001110,0.001110,0.001110
24,0.001110,0.001110,0.001110,0.001110,0.001110
26,0.001110,0.001110,0.001110,0.001110,0.001110
28,0.001110,0.001110,0.001110,0.001110,0.001110
30,0.001110,0.001110,0.001110,0.001110,0.001110
32,0.001110,0.001110,0.001110,0.001110,0.001110
34,0.001110,0.001110,0.001110,0.001110,0.001110
36,0.001110,0.001110,0.001110,0.001110,0.001110
38,0.001110,0.001110,0.001110,0.001110,0.001110
40,0.001110,0.001110,0.001110,0.001110,0.001110
42,0.001110,0.001110,0.001110,0.001110,0.001110
44,0.001110,0.001110,0.001110,0.001110,0.001110
46,0.001110,0.001110,0.001110,0.001110,0.001110
48,0.001110,0.001110,0.001110,0.001110,0.001110
50,0.001110,0.001110,0.001110,0.001110,0.001110
52,0.001110,0.001110,0.001110,0.001110,0.001110
54,0.001110,0.001110,0.001110,0.001110,0.001110
56,0.001110,0.001110,0.001110,0.001110,0.001110
58,0.001110,0.001110,0.001110,0.001110,0.001110
60,0.001110,0.001110,0.001110,0.001110,0.001110
