t_s,seed1,seed2,seed3,seed4,seed5
2,0.216255,0.109756,0.240263,0.066973,0.135279
4,0.024004,0.003735,0.016169,0.004546,0.008231
6,0.002779,0.001922,0.001699,0.001958,0.001813
8,0.002119,0.002071,0.002378,0.002135,0.002440
10,0.002060,0.002085,0.002119,0.002072,0.002086
12,0.002052,0.002054,0.002039,0.002049,0.002034
14,0.002054,0.002052,0.002051,0.002054,0.002054
16,0.002054,0.002055,0.002056,0.002055,0.002056
18,0.002054,0.002055,0.002055,0.002054,0.002054
20,0.002054,0.002054,0.002054,0.002054,0.002054
22,0.002054,0.002054,0.002054,0.002054,0.002054
24,0.002054,0.002054,0.002054,0.002054,0.002054
26,0.002054,0.002054,0.002054,0.002054,0.002054
28,0.002054,0.002054,0.002054,0.002054,0.002054
30,0.002054,0.002054,0.002054,0.002054,0.002054
32,0.002054,0.002054,0.002054,0.002054,0.002054
34,0.002054,0.002054,0.002054,0.002054,0.002054
36,0.002054,0.002054,0.002054,0.002054,0.002054
38,0.002054,0.002054,0.002054,0.002054,0.002054
40,0.002054,0.002054,0.002054,0.002054,0.002054
42,0.002054,0.002054,0.002054,0.002054,0.002054
44,0.002054,0.002054,0.002054,0.002054,0.002054
46,0.002054,0.002054,0.002054,0.002054,0.002054
48,0.002054,0.002054,0.002054,0.002054,0.002054
50,0.002054,0.002054,0.002054,0.002054,0.002054
52,0.002054,0.002054,0.002054,0.002054,0.002054
54,0.002054,0.002054,0.002054,0.002054,0.002054
56,0.002054,0.002054,0.002054,0.002054,0.002054
58,0.002054,0.002054,0.002054,0.002054,0.002054
60,0.002054,0.002054,0.002054,0.002054,0.002054
