t_s,seed1,seed2,seed3,seed4,seed5
2,0.319330,0.124089,0.064147,0.355436,0.130957
4,0.016217,0.007172,0.001621,0.022413,0.007443
6,0.000717,0.000523,0.000513,0.001370,0.000602
8,0.000562,0.000557,0.000555,0.000565,0.000557
10,0.000552,0.000554,0.000554,0.000551,0.000553
12,0.000554,0.000554,0.000554,0.000554,0.000554
14,0.000554,0.000554,0.000554,0.000554,0.000554
16,0.000554,0.000554,0.000554,0.000554,0.000554
18,0.000554,0.000554,0.000554,0.000554,0.000554
20,0.000554,0.000554,0.000554,0.000554,0.000554
22,0.000554,0.000554,0.000554,0.000554,0.000554
24,0.000554,0.000554,0.000554,0.000554,0.000554
26,0.000554,0.000554,0.000554,0.000554,0.000554
28,0.000554,0.000554,0.000554,0.000554,0.000554
30,0.000554,0.000554,0.000554,0.000554,0.000554
32,0.000554,0.000554,0.000554,0.000554,0.000554
34,0.000554,0.000554,0.000554,0.000554,0.000554
36,0.000554,0.000554,0.000554,0.000554,0.000554
38,0.000554,0.000554,0.000554,0.000554,0.000554
40,0.000554,0.000554,0.000554,0.000554,0.000554
42,0.000554,0.000554,0.000554,0.000554,0.000554
44,0.000554,0.000554,0.000554,0.000554,0.000554
46,0.000554,0.000554,0.000554,0.000554,0.000554
48,0.000554,0.000554,0.000554,0.000554,0.000554
50,0.000554,0.000554,0.000554,0.000554,0.000554
52,0.000554,0.000554,0.000554,0.000554,0.000554
54,0.000554,0.000554,0.000554,0.000554,0.000554
56,0.000554,0.000554,0.000554,0.000554,0.000554
58,0.000554,0.000554,0.000554,0.000554,0.000554
60,0.000554,0.000554,0.000554,0.000554,0.000554
