t_s,seed1,seed2,seed3,seed4,seed5
2,0.011488,0.105001,0.066057,0.045095,0.015202
4,0.004241,0.009359,0.004092,0.024527,0.004431
6,0.003221,0.003404,0.003419,0.018957,0.003155
8,0.003203,0.003285,0.003396,0.003050,0.003158
10,0.003205,0.003272,0.003331,0.003354,0.003161
12,0.003201,0.003248,0.003292,0.003315,0.003163
14,0.003196,0.003231,0.003264,0.003277,0.003166
16,0.003191,0.003218,0.003247,0.003253,0.003169
18,0.003185,0.003208,0.003231,0.003236,0.003168
20,0.003181,0.003199,0.003218,0.003222,0.003168
22,0.003179,0.003192,0.003208,0.003211,0.003165
24,0.003173,0.003186,0.003200,0.003203,0.003164
26,0.003170,0.003184,0.003194,0.003195,0.003165
28,0.003170,0.003178,0.003188,0.003189,0.003163
30,0.003167,0.003176,0.003183,0.003184,0.003165
32,0.003169,0.003172,0.003178,0.003182,0.003164
34,0.003166,0.003170,0.003177,0.003177,0.003166
36,0.003168,0.003165,0.003173,0.003175,0.003164
38,0.003165,0.003164,0.003172,0.003169,0.003165
40,0.003166,0.003164,0.003170,0.003167,0.003163
42,0.003164,0.003162,0.003169,0.003167,0.003163
44,0.003165,0.003164,0.003164,0.003165,0.003162
46,0.003163,0.003162,0.003163,0.003167,0.003162
48,0.003163,0.003164,0.003163,0.003164,0.003158
50,0.003158,0.003162,0.003161,0.003166,0.003157
52,0.003158,0.003163,0.003163,0.003164,0.003158
54,0.003158,0.003161,0.003162,0.003165,0.003156
56,0.003157,0.003162,0.003164,0.003163,0.003159
58,0.003160,0.003160,0.003162,0.003163,0.003157
60,0.003158,0.003161,0.003163,0.003162,0.003160
