t_s,seed1,seed2,seed3,seed4,seed5
2,0.104919,0.083475,0.115662,0.139130,0.148503
4,0.005854,0.009536,0.012561,0.007093,0.040709
6,0.005644,0.005780,0.006564,0.004502,0.007879
8,0.005966,0.005381,0.006393,0.004200,0.006374
10,0.006692,0.007495,0.006231,0.006279,0.007320
12,0.004352,0.006542,0.006531,0.005244,0.006323
14,0.005506,0.006663,0.005455,0.004365,0.004636
16,0.006226,0.007189,0.005947,0.006735,0.005190
18,0.006686,0.005008,0.006425,0.005336,0.006080
20,0.006967,0.006657,0.005821,0.006190,0.008092
22,0.005485,0.006504,0.004596,0.006155,0.006001
24,0.005463,0.006562,0.005756,0.005550,0.006286
26,0.005966,0.006825,0.006543,0.006740,0.007076
28,0.006373,0.005338,0.006646,0.006553,0.004555
30,0.004973,0.006087,0.006484,0.007003,0.004677
32,0.004804,0.005793,0.006238,0.005735,0.007678
34,0.006352,0.005370,0.006986,0.005307,0.007481
36,0.005669,0.004644,0.004743,0.006304,0.006793
38,0.004375,0.005238,0.006924,0.004687,0.007450
40,0.005530,0.007903,0.006250,0.006369,0.005906
42,0.006895,0.005980,0.006705,0.006288,0.006292
44,0.006602,0.006243,0.005313,0.006918,0.006287
46,0.005620,0.006867,0.004439,0.006927,0.005999
48,0.006478,0.005125,0.005834,0.005183,0.006803
50,0.005494,0.006317,0.005736,0.006285,0.006143
52,0.006575,0.006681,0.004906,0.005778,0.006423
54,0.006910,0.004362,0.006264,0.005522,0.006117
56,0.004748,0.005732,0.004977,0.007541,0.005944
58,0.005969,0.006154,0.005770,0.005972,0.007379
60,0.006115,0.006776,0.005089,0.006079,0.006176
