t_s,seed1,seed2,seed3,seed4,seed5
2,0.026092,0.083782,0.168840,0.052358,0.034331
4,0.002376,0.024589,0.036126,0.011377,0.002650
6,0.001873,0.014887,0.016743,0.004316,0.001791
8,0.001700,0.002882,0.014490,0.002458,0.002132
10,0.001662,0.002659,0.003064,0.002286,0.002479
12,0.001860,0.001909,0.001923,0.001729,0.001588
14,0.001935,0.001491,0.002573,0.001550,0.001768
16,0.001722,0.002206,0.001728,0.002477,0.002033
18,0.001934,0.002245,0.001485,0.001895,0.002120
20,0.002488,0.001594,0.002431,0.001480,0.002453
22,0.001562,0.002094,0.001958,0.002108,0.001903
24,0.001861,0.002041,0.001476,0.001999,0.001417
26,0.002170,0.001960,0.002382,0.001884,0.002134
28,0.001530,0.002425,0.002057,0.002693,0.002299
30,0.002365,0.001806,0.001790,0.001832,0.001556
32,0.002269,0.001717,0.002686,0.001503,0.001826
34,0.001401,0.002257,0.001855,0.002117,0.001950
36,0.001967,0.001801,0.001458,0.002131,0.002077
38,0.002315,0.001759,0.002176,0.001487,0.002165
40,0.001893,0.002308,0.001864,0.001931,0.002135
42,0.001864,0.002194,0.002018,0.002401,0.001459
44,0.002446,0.001887,0.002324,0.001651,0.002134
46,0.001500,0.001950,0.002001,0.001944,0.002363
48,0.002111,0.002078,0.001758,0.002181,0.002083
50,0.002211,0.001503,0.002117,0.001913,0.002404
52,0.001802,0.002588,0.002300,0.002273,0.002052
54,0.001718,0.002732,0.001584,0.002605,0.001486
56,0.002618,0.001600,0.001968,0.001501,0.001707
58,0.001698,0.001960,0.002037,0.001821,0.002714
60,0.001788,0.001916,0.002056,0.002088,0.002080
