t_s,seed1,seed2,seed3,seed4,seed5
2,0.072822,0.138735,0.144836,0.247535,0.320879
4,0.000763,0.001398,0.001588,0.040497,0.107261
6,0.000775,0.000808,0.000760,0.000600,0.001050
8,0.000736,0.000649,0.000677,0.000676,0.000788
10,0.000835,0.000722,0.000719,0.000746,0.000776
12,0.000711,0.000754,0.000710,0.000795,0.000676
14,0.000518,0.000705,0.000745,0.000819,0.000840
16,0.000814,0.000856,0.000583,0.000676,0.000832
18,0.000832,0.000750,0.000789,0.000816,0.000591
20,0.000868,0.000852,0.000829,0.000711,0.000773
22,0.000864,0.000661,0.000756,0.000555,0.000754
24,0.000756,0.000661,0.000930,0.000780,0.000695
26,0.000770,0.000775,0.000773,0.000793,0.000932
28,0.000901,0.000611,0.000614,0.000718,0.000869
30,0.000722,0.000928,0.000746,0.000904,0.000788
32,0.000844,0.000904,0.000813,0.000809,0.000792
34,0.000795,0.000566,0.000883,0.000565,0.000647
36,0.000578,0.000754,0.000949,0.000784,0.000847
38,0.000777,0.000706,0.000668,0.000949,0.000966
40,0.000856,0.000681,0.000709,0.000850,0.000838
42,0.000703,0.000918,0.000762,0.000843,0.000730
44,0.000780,0.000785,0.000654,0.000626,0.000766
46,0.000867,0.000792,0.000947,0.000663,0.000629
48,0.000683,0.000878,0.000956,0.000890,0.000777
50,0.000765,0.000677,0.000643,0.000699,0.000923
52,0.000722,0.000750,0.000854,0.000908,0.000767
54,0.000575,0.000733,0.000793,0.000798,0.000755
56,0.000900,0.000746,0.000591,0.000542,0.000814
58,0.000834,0.000803,0.000692,0.000805,0.000620
60,0.000647,0.000932,0.000762,0.000856,0.000768
