t_s,seed1,seed2,seed3,seed4,seed5
2,0.107413,0.167143,0.061159,0.067279,0.024443
4,0.027607,0.023225,0.008575,0.036883,0.007529
6,0.006126,0.012714,0.006692,0.013366,0.005168
8,0.006413,0.006585,0.006451,0.006444,0.005749
10,0.006498,0.007588,0.005742,0.007326,0.006789
12,0.005912,0.007593,0.005573,0.005708,0.005963
14,0.006811,0.006864,0.007355,0.006801,0.005391
16,0.006905,0.006415,0.006905,0.006537,0.008116
18,0.005999,0.007043,0.006242,0.005052,0.007539
20,0.006187,0.007279,0.005991,0.007376,0.006575
22,0.007159,0.006708,0.006654,0.007795,0.005254
24,0.006419,0.006911,0.007014,0.005647,0.005497
26,0.006769,0.008048,0.006266,0.005537,0.007202
28,0.006203,0.006242,0.006033,0.007481,0.007162
30,0.006758,0.005434,0.006924,0.006552,0.006332
32,0.006512,0.006745,0.006750,0.005491,0.006591
34,0.006261,0.007205,0.006483,0.007237,0.005475
36,0.007816,0.006131,0.007114,0.007510,0.006976
38,0.007839,0.005958,0.008115,0.005861,0.006918
40,0.006387,0.006744,0.007144,0.005756,0.005710
42,0.004785,0.005617,0.005527,0.007106,0.006141
44,0.006133,0.006794,0.005637,0.008025,0.007225
46,0.007339,0.008232,0.007603,0.005683,0.005423
48,0.005010,0.006836,0.005442,0.005146,0.005534
50,0.006583,0.004953,0.004844,0.006746,0.007428
52,0.007462,0.006182,0.006228,0.008034,0.006194
54,0.005531,0.007596,0.007816,0.006402,0.005683
56,0.005651,0.005699,0.006592,0.006575,0.007099
58,0.007847,0.006156,0.005559,0.005701,0.006576
60,0.006995,0.007296,0.006699,0.007689,0.006411
