t_s,seed1,seed2,seed3,seed4,seed5
2,0.308121,0.057085,0.196492,0.024194,0.039364
4,0.112176,0.011565,0.020483,0.003626,0.014257
6,0.013118,0.000677,0.001796,0.001159,0.001465
8,0.000992,0.000768,0.000733,0.000961,0.000879
10,0.000779,0.000767,0.000826,0.000758,0.000792
12,0.000802,0.000735,0.000743,0.000783,0.000759
14,0.000781,0.000800,0.000724,0.000784,0.000726
16,0.000729,0.000733,0.000800,0.000731,0.000792
18,0.000774,0.000751,0.000735,0.000758,0.000754
20,0.000759,0.000771,0.000738,0.000759,0.000727
22,0.000729,0.000732,0.000771,0.000733,0.000770
24,0.000760,0.000750,0.000736,0.000752,0.000748
26,0.000751,0.000757,0.000743,0.000751,0.000733
28,0.000734,0.000735,0.000757,0.000737,0.000757
30,0.000753,0.000749,0.000738,0.000749,0.000745
32,0.000747,0.000750,0.000744,0.000747,0.000738
34,0.000739,0.000739,0.000751,0.000740,0.000751
36,0.000749,0.000747,0.000740,0.000747,0.000744
38,0.000745,0.000747,0.000745,0.000746,0.000741
40,0.000741,0.000741,0.000748,0.000742,0.000748
42,0.000747,0.000746,0.000742,0.000746,0.000744
44,0.000745,0.000746,0.000745,0.000745,0.000743
46,0.000743,0.000743,0.000746,0.000743,0.000747
48,0.000746,0.000746,0.000743,0.000745,0.000744
50,0.000744,0.000745,0.000745,0.000745,0.000744
52,0.000744,0.000743,0.000745,0.000744,0.000746
54,0.000745,0.000745,0.000744,0.000745,0.000744
56,0.000744,0.000745,0.000745,0.000744,0.000744
58,0.000744,0.000744,0.000745,0.000744,0.000745
60,0.000745,0.000745,0.000744,0.000745,0.000744
