t_s,seed1,seed2,seed3,seed4,seed5
2,0.407550,0.425966,0.399512,0.568076,0.485674
4,0.203571,0.231881,0.164253,0.063766,0.131960
6,0.165503,0.182444,0.120793,0.088615,0.158364
8,0.142384,0.130825,0.117208,0.082328,0.177114
10,0.129562,0.127675,0.176264,0.082614,0.176337
12,0.124003,0.122041,0.180434,0.083556,0.169624
14,0.126020,0.125403,0.173953,0.089019,0.173295
16,0.125636,0.122961,0.172161,0.093465,0.170805
18,0.126656,0.126318,0.172199,0.089505,0.168565
20,0.126257,0.124393,0.172801,0.089730,0.168596
22,0.126877,0.126675,0.168683,0.093536,0.171233
24,0.126566,0.125308,0.169333,0.092644,0.169723
26,0.126969,0.126847,0.172613,0.092815,0.166735
28,0.126760,0.125916,0.168759,0.087673,0.167132
30,0.126988,0.126927,0.166508,0.091604,0.169674
32,0.126906,0.126326,0.170881,0.084820,0.169626
34,0.126972,0.126952,0.168628,0.092628,0.166215
36,0.127005,0.126619,0.168259,0.083996,0.165920
38,0.126975,0.126942,0.168405,0.093827,0.166658
40,0.127047,0.126830,0.165887,0.086631,0.168087
42,0.126998,0.126922,0.165538,0.092249,0.169096
44,0.127052,0.126978,0.169967,0.084960,0.166191
46,0.127025,0.126918,0.169422,0.091829,0.165449
48,0.127046,0.127051,0.166354,0.087079,0.170005
50,0.127044,0.126951,0.165249,0.092387,0.167684
52,0.127043,0.127057,0.167468,0.087843,0.167759
54,0.127054,0.126998,0.169789,0.092658,0.165902
56,0.127046,0.127042,0.167599,0.090428,0.166157
58,0.127056,0.127034,0.165499,0.092889,0.168703
60,0.127050,0.127033,0.166021,0.090079,0.169554
