t_s,seed1,seed2,seed3,seed4,seed5
2,0.564393,0.407105,0.401368,0.163370,0.229029
4,0.163225,0.087206,0.329122,0.030640,0.146170
6,0.073282,0.080951,0.303349,0.026038,0.158127
8,0.060680,0.075832,0.286421,0.034392,0.152356
10,0.055238,0.074441,0.274672,0.042189,0.145524
12,0.051910,0.074100,0.204893,0.050903,0.141849
14,0.050166,0.071913,0.044649,0.061785,0.140133
16,0.050204,0.063476,0.050656,0.057336,0.133903
18,0.051959,0.056832,0.044356,0.066841,0.118535
20,0.055320,0.051319,0.047320,0.076373,0.116393
22,0.057292,0.046927,0.052577,0.074158,0.101216
24,0.062396,0.043650,0.054355,0.087563,0.093113
26,0.052217,0.041475,0.046730,0.074696,0.085545
28,0.060215,0.040391,0.049530,0.082981,0.082455
30,0.051067,0.040384,0.054109,0.096276,0.084585
32,0.057747,0.041441,0.059861,0.085028,0.065533
34,0.048973,0.043548,0.055501,0.096779,0.067675
36,0.051279,0.046691,0.061787,0.107269,0.071474
38,0.055323,0.050856,0.070228,0.116043,0.061037
40,0.048777,0.056029,0.079793,0.107002,0.055785
42,0.052813,0.062192,0.077978,0.103914,0.060917
44,0.058898,0.055727,0.060916,0.109463,0.052274
46,0.055752,0.059897,0.067575,0.123741,0.055606
48,0.059596,0.066087,0.078425,0.129343,0.053632
50,0.068002,0.061992,0.081222,0.150120,0.046753
52,0.056265,0.068749,0.085041,0.114211,0.051136
54,0.061475,0.064448,0.100738,0.127567,0.058274
56,0.070364,0.055950,0.080541,0.143749,0.045423
58,0.066228,0.066168,0.092185,0.125309,0.049865
60,0.076626,0.070634,0.103964,0.111767,0.057941
