t_s,seed1,seed2,seed3,seed4,seed5
2,0.169638,0.294260,0.122870,0.284202,0.117026
4,0.073873,0.095286,0.094184,0.077558,0.085876
6,0.077937,0.078228,0.098662,0.073936,0.078107
8,0.079788,0.079572,0.099819,0.074571,0.077234
10,0.080503,0.080229,0.098576,0.074838,0.077796
12,0.080885,0.080681,0.090238,0.075048,0.078009
14,0.081216,0.081025,0.077743,0.075218,0.078121
16,0.081518,0.081324,0.080020,0.075306,0.078213
18,0.081801,0.081590,0.082278,0.075348,0.078290
20,0.082080,0.081836,0.076216,0.075373,0.078355
22,0.082372,0.082074,0.076685,0.075390,0.078412
24,0.082706,0.082314,0.077153,0.075404,0.078462
26,0.083139,0.082569,0.077263,0.075413,0.078506
28,0.083828,0.082862,0.077367,0.075421,0.078545
30,0.081654,0.083243,0.077453,0.075428,0.078580
32,0.077362,0.083845,0.077527,0.075436,0.078611
34,0.078017,0.084029,0.077589,0.075443,0.078639
36,0.078023,0.077341,0.077642,0.075450,0.078665
38,0.078061,0.078095,0.077687,0.075458,0.078688
40,0.078100,0.078102,0.077727,0.075465,0.078709
42,0.078135,0.078134,0.077762,0.075473,0.078729
44,0.078167,0.078169,0.077793,0.075480,0.078747
46,0.078196,0.078200,0.077820,0.075488,0.078763
48,0.078221,0.078228,0.077845,0.075495,0.078779
50,0.078243,0.078253,0.077868,0.075502,0.078794
52,0.078264,0.078276,0.077889,0.075508,0.078807
54,0.078282,0.078295,0.077907,0.075515,0.078820
56,0.078300,0.078313,0.077924,0.075521,0.078832
58,0.078316,0.078330,0.077940,0.075527,0.078843
60,0.078331,0.078345,0.077955,0.075533,0.078854
