t_s,seed1,seed2,seed3,seed4,seed5
2,0.334981,0.314628,0.403421,0.556711,0.423182
4,0.155420,0.271372,0.238410,0.171274,0.202451
6,0.146178,0.225406,0.232613,0.207643,0.243273
8,0.147555,0.260089,0.182333,0.285754,0.475600
10,0.173181,0.237635,0.186816,0.165095,0.123570
12,0.195647,0.187877,0.138374,0.151655,0.248754
14,0.272137,0.163654,0.123522,0.438249,0.330093
16,0.142765,0.168338,0.138324,0.152108,0.151883
18,0.231471,0.179732,0.113819,0.380460,0.192289
20,0.161715,0.212572,0.143293,0.152256,0.267138
22,0.287370,0.202743,0.131772,0.210679,0.151652
24,0.188984,0.153013,0.141591,0.312995,0.151139
26,0.504070,0.193509,0.185087,0.162394,0.223687
28,0.219970,0.458516,0.325442,0.268246,0.157579
30,0.249335,0.206936,0.294518,0.169921,0.516530
32,0.169547,0.319400,0.133024,0.147918,0.170133
34,0.275352,0.175150,0.259069,0.146499,0.390036
36,0.385698,0.174162,0.298892,0.155088,0.187016
38,0.297508,0.205892,0.155815,0.165796,0.319969
40,0.215018,0.235351,0.138146,0.310859,0.167821
42,0.333809,0.275272,0.124106,0.168901,0.289324
44,0.324563,0.165281,0.128165,0.277166,0.207992
46,0.199376,0.220778,0.159895,0.159247,0.403334
48,0.220048,0.238592,0.130429,0.327711,0.256570
50,0.164868,0.180222,0.176858,0.170530,0.293582
52,0.240727,0.273412,0.177014,0.250559,0.370866
54,0.174187,0.364142,0.149198,0.179395,0.161694
56,0.438992,0.370377,0.220069,0.188056,0.227681
58,0.179497,0.280298,0.149078,0.262975,0.192396
60,0.230640,0.227050,0.184179,0.188299,0.199260
