t_s,seed1,seed2,seed3,seed4,seed5
2,0.434211,0.652578,0.456876,0.666905,0.342583
4,0.430131,0.453877,0.374948,0.408739,0.435831
6,0.441610,0.412222,0.381906,0.387196,0.458387
8,0.397941,0.450465,0.442257,0.374252,0.470122
10,0.384689,0.433018,0.403989,0.372885,0.382368
12,0.405048,0.415374,0.409929,0.423593,0.437821
14,0.381367,0.420848,0.431899,0.492770,0.417342
16,0.399662,0.439832,0.408103,0.445741,0.409376
18,0.426615,0.442916,0.465672,0.441088,0.478629
20,0.431509,0.451611,0.414543,0.430155,0.374325
22,0.377659,0.440742,0.419297,0.406816,0.368323
24,0.389524,0.479264,0.411345,0.411305,0.361845
26,0.438430,0.438798,0.395148,0.436933,0.389265
28,0.470259,0.461386,0.413021,0.413636,0.399329
30,0.422510,0.509518,0.426369,0.408012,0.418361
32,0.404800,0.480038,0.417018,0.411499,0.403492
34,0.411094,0.426165,0.426156,0.430214,0.420883
36,0.392490,0.388694,0.383158,0.426966,0.392512
38,0.400128,0.402217,0.393670,0.399284,0.405059
40,0.379009,0.454744,0.399135,0.411848,0.396081
42,0.354708,0.605566,0.406615,0.429987,0.400957
44,0.398959,0.507250,0.390275,0.422926,0.405079
46,0.403785,0.419765,0.399064,0.404182,0.397205
48,0.378657,0.394557,0.411375,0.414802,0.393023
50,0.375287,0.406067,0.391922,0.442443,0.430079
52,0.379267,0.400222,0.378343,0.433432,0.404954
54,0.374667,0.386788,0.380800,0.418152,0.367786
56,0.397180,0.396303,0.390598,0.460766,0.515369
58,0.403799,0.407540,0.382429,0.462594,0.376048
60,0.499746,0.410008,0.414626,0.419510,0.428247
