t_s,seed1,seed2,seed3,seed4,seed5
2,0.747246,0.398530,0.327324,0.410793,0.519778
4,0.472711,0.100808,0.307007,0.347279,0.344350
6,0.318678,0.152695,0.362595,0.426732,0.213610
8,0.271047,0.088775,0.417507,0.289324,0.149844
10,0.244927,0.148393,0.347054,0.206580,0.189040
12,0.230101,0.080038,0.187862,0.156733,0.212931
14,0.245836,0.079436,0.123772,0.102014,0.137510
16,0.221298,0.078788,0.072565,0.106166,0.153980
18,0.174215,0.053652,0.043468,0.087153,0.152486
20,0.126894,0.070104,0.024219,0.082322,0.168170
22,0.102798,0.054069,0.031553,0.089391,0.106446
24,0.076663,0.056223,0.073846,0.077667,0.108440
26,0.104382,0.109715,0.107441,0.101745,0.123409
28,0.073136,0.089925,0.096698,0.125040,0.177846
30,0.083125,0.060150,0.063178,0.138721,0.085123
32,0.100392,0.053319,0.075671,0.144610,0.083352
34,0.113031,0.103675,0.099608,0.118112,0.087606
36,0.066663,0.107123,0.107949,0.120273,0.081616
38,0.065572,0.059963,0.096013,0.137836,0.121727
40,0.106392,0.077052,0.126380,0.143873,0.144338
42,0.101634,0.091981,0.108373,0.125694,0.125018
44,0.086770,0.097695,0.081898,0.130031,0.132752
46,0.104779,0.084223,0.084109,0.143789,0.131375
48,0.094846,0.063065,0.111447,0.168163,0.156316
50,0.089150,0.076655,0.127632,0.162438,0.128862
52,0.104003,0.079780,0.104846,0.171806,0.123270
54,0.091066,0.101800,0.138502,0.158442,0.062184
56,0.065918,0.102494,0.122425,0.159162,0.083918
58,0.084233,0.111391,0.097977,0.151929,0.102821
60,0.077858,0.107574,0.105060,0.172098,0.120788
