t_s,seed1,seed2,seed3,seed4,seed5
2,0.277626,0.244642,1.050542,0.437374,0.468504
4,0.064985,0.123898,0.355157,0.046095,0.341288
6,0.050406,0.032905,0.048560,0.023909,0.044843
8,0.095566,0.022099,0.023954,0.013287,0.051925
10,0.103267,0.016575,0.038822,0.029534,0.047631
12,0.072959,0.031738,0.050885,0.038627,0.046478
14,0.060520,0.032886,0.057465,0.044180,0.044025
16,0.047426,0.026069,0.055730,0.037973,0.051760
18,0.048843,0.028396,0.057405,0.043188,0.055636
20,0.062618,0.033850,0.049664,0.045889,0.055067
22,0.067537,0.032612,0.045895,0.046477,0.051116
24,0.059420,0.039001,0.047900,0.044520,0.057281
26,0.057353,0.036322,0.048392,0.043312,0.066028
28,0.045989,0.036100,0.048465,0.046175,0.071166
30,0.049400,0.046318,0.049435,0.052173,0.052834
32,0.045920,0.038946,0.046558,0.059772,0.059352
34,0.044636,0.035560,0.044759,0.048839,0.057368
36,0.053885,0.052119,0.054295,0.052945,0.058495
38,0.052389,0.050023,0.045864,0.044281,0.060682
40,0.059077,0.048491,0.050355,0.049134,0.055643
42,0.052536,0.051042,0.045704,0.047091,0.058066
44,0.061685,0.053176,0.050026,0.050631,0.061724
46,0.049502,0.052546,0.054005,0.056423,0.056434
48,0.055398,0.045823,0.064050,0.044456,0.052516
50,0.049217,0.046474,0.067022,0.050528,0.057676
52,0.053000,0.047957,0.046110,0.049407,0.053016
54,0.050040,0.054877,0.049506,0.048792,0.053071
56,0.044704,0.047986,0.051689,0.047733,0.042625
58,0.045141,0.048093,0.052642,0.053689,0.041106
60,0.053104,0.074809,0.050118,0.054026,0.042467
