t_s,seed1,seed2,seed3,seed4,seed5
2,0.511734,0.539694,0.467467,0.663487,0.724917
4,0.428177,0.559029,0.420592,0.395414,0.412626
6,0.368589,0.514469,0.394222,0.360749,0.478387
8,0.378537,0.510042,0.398846,0.324576,0.391050
10,0.375677,0.402303,0.390814,0.336081,0.392869
12,0.375210,0.380851,0.388793,0.343244,0.390641
14,0.385858,0.376312,0.377646,0.343581,0.390543
16,0.388424,0.371169,0.386486,0.334793,0.385055
18,0.407842,0.373391,0.394005,0.335347,0.381939
20,0.408433,0.378622,0.383311,0.323405,0.390332
22,0.401060,0.371984,0.395799,0.337129,0.373347
24,0.400907,0.393669,0.385430,0.332028,0.380409
26,0.399057,0.391483,0.398042,0.333510,0.381485
28,0.402708,0.396643,0.406542,0.325772,0.377404
30,0.391897,0.370341,0.413376,0.327139,0.377594
32,0.382050,0.380371,0.407116,0.333878,0.376769
34,0.401572,0.372404,0.413064,0.312075,0.377966
36,0.384786,0.354550,0.410230,0.328729,0.390025
38,0.380298,0.364146,0.409029,0.339032,0.381420
40,0.385162,0.356618,0.411009,0.340267,0.393489
42,0.384889,0.368634,0.413761,0.336793,0.392982
44,0.376174,0.363895,0.401872,0.339740,0.379411
46,0.398756,0.363871,0.413780,0.338308,0.380397
48,0.388249,0.360873,0.407888,0.323761,0.371456
50,0.390444,0.371598,0.416791,0.335683,0.387118
52,0.390520,0.366775,0.399695,0.348943,0.380915
54,0.401159,0.369363,0.395647,0.332359,0.380762
56,0.392239,0.358876,0.412897,0.373964,0.365627
58,0.378909,0.367482,0.410312,0.382568,0.373921
60,0.397986,0.379107,0.398316,0.357683,0.374564
