t_s,seed1,seed2,seed3,seed4,seed5
2,0.433165,0.469427,0.532996,0.528089,0.377525
4,0.329691,0.402764,0.347169,0.508831,0.310615
6,0.417534,0.398602,0.286347,0.594864,0.457223
8,0.491104,0.489149,0.295061,0.742843,0.361759
10,0.826071,0.326159,0.606011,0.462370,0.419799
12,0.516701,0.554548,0.367040,0.373093,0.369863
14,0.748008,0.345331,0.424047,0.411380,0.494564
16,0.467555,0.580445,0.334858,0.424633,0.340076
18,0.410597,0.428429,0.325160,0.400103,0.517648
20,0.321679,0.367539,0.422087,0.742217,0.487217
22,0.389760,0.408563,0.437523,0.405663,0.478051
24,0.311594,0.477366,0.507296,0.367635,0.321005
26,0.506456,0.427091,0.338923,0.385447,0.330108
28,0.512443,0.312335,0.328926,0.348413,0.364397
30,0.880911,0.325706,0.410951,0.390125,0.506259
32,0.434713,0.354628,0.392752,0.629805,0.403115
34,0.788173,0.382095,0.542671,0.352529,0.633950
36,0.378613,0.526583,0.306550,0.336095,0.357891
38,0.308433,0.341870,0.295652,0.593866,0.306857
40,0.556894,0.534666,0.352373,0.452804,0.418109
42,0.493096,0.406627,0.755503,0.454998,0.315848
44,0.433076,0.323330,0.579406,0.378728,0.301786
46,0.483562,0.355441,0.438093,0.455407,0.322867
48,0.374572,0.352819,0.405442,0.352381,0.676872
50,0.455873,0.389598,0.330863,0.390225,0.363791
52,0.409836,0.482455,0.340075,0.629919,0.283385
54,0.426300,0.309603,0.477063,0.355222,0.315322
56,0.304418,0.388147,0.427930,0.339934,0.334883
58,0.401709,0.342428,0.329081,0.334593,0.558308
60,0.303026,0.350778,0.271907,0.302851,0.502999
