t_s,seed1,seed2,seed3,seed4,seed5
2,0.226973,0.219854,0.245276,0.585464,0.690279
4,0.126067,0.158261,0.110505,0.119306,0.187841
6,0.143564,0.139822,0.103040,0.101878,0.190556
8,0.155840,0.120122,0.107420,0.103068,0.145872
10,0.144756,0.097343,0.100368,0.100436,0.141925
12,0.167789,0.098693,0.098616,0.112886,0.123386
14,0.136800,0.099135,0.096914,0.112077,0.124695
16,0.140076,0.103665,0.097232,0.133925,0.178876
18,0.134089,0.104631,0.097377,0.107883,0.175118
20,0.121831,0.095803,0.099138,0.104490,0.137716
22,0.119335,0.105464,0.095473,0.111624,0.136935
24,0.135533,0.110703,0.099669,0.129519,0.125684
26,0.110608,0.097272,0.094716,0.110656,0.141366
28,0.124821,0.101258,0.101804,0.118587,0.143017
30,0.121719,0.118258,0.113774,0.130323,0.164493
32,0.130783,0.103552,0.113651,0.125744,0.160641
34,0.132028,0.106119,0.116041,0.113552,0.135905
36,0.142690,0.116815,0.121746,0.121440,0.130404
38,0.156248,0.105939,0.142396,0.132385,0.140607
40,0.153792,0.116254,0.140945,0.105327,0.142885
42,0.147958,0.129643,0.119359,0.115541,0.134737
44,0.143792,0.104084,0.153052,0.139510,0.151848
46,0.125140,0.101610,0.143903,0.137362,0.170945
48,0.115468,0.126548,0.130812,0.128564,0.153241
50,0.128272,0.110354,0.135729,0.119216,0.134706
52,0.149816,0.106809,0.144794,0.107138,0.146214
54,0.160663,0.115444,0.153906,0.104751,0.146373
56,0.138632,0.119051,0.157528,0.142575,0.159040
58,0.125356,0.113918,0.128676,0.121766,0.138853
60,0.120752,0.104496,0.140611,0.117259,0.156617
