t_s,seed1,seed2,seed3,seed4,seed5
2,0.244056,0.633429,0.261310,0.511241,0.222957
4,0.121374,0.245651,0.175727,0.185417,0.172639
6,0.138655,0.254805,0.188782,0.169873,0.172569
8,0.165553,0.217697,0.209519,0.168574,0.175591
10,0.137943,0.235963,0.186919,0.155921,0.221439
12,0.133454,0.166243,0.174177,0.160413,0.205438
14,0.140533,0.148943,0.222030,0.181023,0.273649
16,0.124668,0.140312,0.294446,0.159408,0.247341
18,0.130362,0.186980,0.269513,0.206398,0.288492
20,0.177138,0.196226,0.237767,0.168340,0.240066
22,0.170923,0.173382,0.257783,0.199382,0.167549
24,0.171051,0.197960,0.261292,0.206889,0.147033
26,0.156991,0.176917,0.217327,0.198334,0.177649
28,0.150858,0.185710,0.163577,0.225440,0.148443
30,0.182387,0.221163,0.201675,0.213864,0.159159
32,0.168970,0.282496,0.191709,0.161039,0.163912
34,0.148467,0.284604,0.136943,0.160602,0.145257
36,0.166392,0.358984,0.153680,0.155188,0.157394
38,0.159828,0.155419,0.162202,0.159662,0.174647
40,0.133685,0.188519,0.155214,0.177627,0.146865
42,0.145029,0.182092,0.134653,0.181247,0.184458
44,0.197448,0.194531,0.218161,0.212683,0.184975
46,0.194115,0.170190,0.250344,0.185559,0.159412
48,0.176143,0.179866,0.164490,0.164221,0.178329
50,0.171038,0.185909,0.153800,0.172186,0.173293
52,0.162286,0.195311,0.168731,0.216434,0.219700
54,0.167286,0.192401,0.151498,0.201991,0.187937
56,0.134873,0.181522,0.165676,0.190100,0.207933
58,0.138176,0.147826,0.160070,0.234877,0.274365
60,0.132605,0.148133,0.189838,0.325094,0.270187
