t_s,seed1,seed2,seed3,seed4,seed5
2,0.466685,0.648636,0.507525,0.721177,0.384757
4,0.301119,0.444313,0.446251,0.392956,0.453737
6,0.358324,0.441778,0.402102,0.410199,0.429809
8,0.373088,0.433869,0.407336,0.402060,0.448152
10,0.383341,0.442450,0.441707,0.392149,0.452322
12,0.363660,0.447961,0.419231,0.359002,0.458898
14,0.370375,0.442684,0.414474,0.413439,0.457648
16,0.390876,0.446369,0.400068,0.427711,0.443120
18,0.422223,0.445384,0.425752,0.432019,0.447282
20,0.418997,0.431832,0.426179,0.415935,0.435982
22,0.437217,0.438463,0.422615,0.425798,0.462010
24,0.425019,0.433474,0.418408,0.415959,0.423773
26,0.432351,0.430672,0.430495,0.417828,0.408563
28,0.414089,0.433971,0.439087,0.457645,0.422101
30,0.404682,0.435757,0.429954,0.475457,0.436803
32,0.415721,0.444426,0.429234,0.428236,0.446494
34,0.428007,0.451420,0.417129,0.432245,0.447681
36,0.413915,0.464676,0.396915,0.427408,0.449096
38,0.411779,0.470154,0.395274,0.407342,0.442192
40,0.446739,0.454986,0.400253,0.434442,0.439557
42,0.410885,0.449551,0.415498,0.423508,0.418218
44,0.433847,0.463109,0.415442,0.415870,0.428133
46,0.434047,0.447023,0.415735,0.418818,0.420706
48,0.414921,0.449083,0.433759,0.413417,0.420527
50,0.391894,0.443725,0.418767,0.406864,0.421076
52,0.414472,0.445974,0.418449,0.428113,0.406472
54,0.432581,0.457970,0.431815,0.438497,0.408558
56,0.428308,0.456248,0.415435,0.427507,0.433500
58,0.431026,0.452684,0.414485,0.416190,0.431482
60,0.432636,0.457597,0.416594,0.407443,0.438749
