t_s,seed1,seed2,seed3,seed4,seed5
2,0.598317,0.787488,0.470666,0.686914,0.332069
4,0.354552,0.689679,0.363214,0.466378,0.311621
6,0.223891,0.397513,0.332633,0.382285,0.313172
8,0.269882,0.330303,0.276533,0.315075,0.251801
10,0.268054,0.273390,0.336932,0.264779,0.265465
12,0.269154,0.255129,0.266578,0.267195,0.285874
14,0.258964,0.312488,0.288114,0.290533,0.262410
16,0.281083,0.374564,0.227528,0.272342,0.293803
18,0.258544,0.280107,0.271481,0.283761,0.258380
20,0.317053,0.306026,0.288539,0.258646,0.266413
22,0.283053,0.256942,0.318763,0.292720,0.289821
24,0.273309,0.277102,0.318847,0.288353,0.265844
26,0.305722,0.356300,0.330084,0.310272,0.252927
28,0.304098,0.321830,0.309517,0.260655,0.313651
30,0.248731,0.295296,0.266926,0.307777,0.304627
32,0.282597,0.262128,0.363288,0.270478,0.265190
34,0.312131,0.340886,0.224276,0.286958,0.252472
36,0.300186,0.356035,0.351177,0.356406,0.282010
38,0.267306,0.239667,0.287891,0.240350,0.292418
40,0.280969,0.322561,0.317342,0.300596,0.306529
42,0.266174,0.365392,0.297410,0.313957,0.255028
44,0.329942,0.358017,0.288380,0.302041,0.247703
46,0.265248,0.343935,0.304219,0.291610,0.271411
48,0.271986,0.257534,0.338209,0.252797,0.264940
50,0.307562,0.268410,0.352566,0.310019,0.274751
52,0.258988,0.312699,0.326903,0.337490,0.338418
54,0.249813,0.267099,0.253592,0.260172,0.307837
56,0.296653,0.284169,0.335581,0.295727,0.300860
58,0.248669,0.266836,0.369652,0.318562,0.321679
60,0.279479,0.284332,0.320779,0.346810,0.295547
