t_s,seed1,seed2,seed3,seed4,seed5
2,0.354745,0.728021,0.195929,0.483782,0.162591
4,0.104123,0.163975,0.081601,0.110327,0.108515
6,0.093723,0.094820,0.085194,0.089330,0.095483
8,0.087003,0.094639,0.078517,0.095036,0.097740
10,0.087379,0.094731,0.081689,0.086677,0.094597
12,0.085069,0.105188,0.082243,0.092400,0.111575
14,0.089911,0.090954,0.079113,0.099448,0.096712
16,0.089589,0.109761,0.090154,0.115069,0.081859
18,0.088423,0.112266,0.113089,0.122935,0.084702
20,0.089583,0.113291,0.122037,0.116617,0.087407
22,0.105344,0.116382,0.140984,0.102872,0.079121
24,0.094398,0.112944,0.091852,0.103727,0.077512
26,0.105048,0.099495,0.117896,0.117826,0.078459
28,0.095838,0.101587,0.073697,0.141051,0.070044
30,0.091170,0.097092,0.079910,0.141098,0.090327
32,0.088659,0.105432,0.094662,0.133388,0.084008
34,0.073358,0.097068,0.078059,0.103054,0.075906
36,0.079285,0.093963,0.073737,0.080010,0.068483
38,0.078555,0.102303,0.082901,0.089420,0.075558
40,0.088773,0.106355,0.075268,0.085587,0.074675
42,0.110829,0.112671,0.067501,0.080256,0.090603
44,0.092722,0.112936,0.071252,0.078203,0.078922
46,0.077745,0.111301,0.069892,0.078237,0.077994
48,0.082514,0.101312,0.074350,0.081316,0.084018
50,0.081477,0.092492,0.079504,0.077951,0.083079
52,0.100238,0.101939,0.084979,0.064957,0.079426
54,0.096952,0.105135,0.076121,0.075106,0.078070
56,0.075429,0.110962,0.081084,0.070041,0.077147
58,0.071422,0.101853,0.080506,0.073694,0.070318
60,0.081238,0.111462,0.086808,0.080295,0.080158
