t_s,seed1,seed2,seed3,seed4,seed5
2,0.176965,0.292496,0.166930,0.332218,0.866127
4,0.255036,0.330878,0.244559,0.309786,0.371336
6,0.346324,0.322437,0.300616,0.331438,0.322334
8,0.255500,0.339201,0.342450,0.321715,0.429807
10,0.231183,0.307237,0.351325,0.331569,0.252325
12,0.217239,0.313300,0.391464,0.334392,0.187609
14,0.306381,0.308003,0.474394,0.327183,0.354241
16,0.253007,0.328424,0.393841,0.354901,0.306394
18,0.201075,0.362937,0.451570,0.452782,0.301561
20,0.231386,0.390077,0.356156,0.412380,0.313018
22,0.337836,0.385821,0.261043,0.270149,0.320834
24,0.354136,0.391853,0.251106,0.274250,0.408210
26,0.235977,0.389574,0.264687,0.242213,0.320301
28,0.243013,0.368474,0.306108,0.341459,0.343781
30,0.308318,0.385798,0.341290,0.361328,0.405443
32,0.319586,0.442619,0.280953,0.307402,0.466539
34,0.247162,0.428944,0.354455,0.354092,0.399957
36,0.230082,0.365757,0.321859,0.371747,0.409055
38,0.235107,0.377509,0.166477,0.191414,0.497642
40,0.228746,0.390813,0.226906,0.233740,0.426570
42,0.357051,0.288705,0.263473,0.318062,0.321892
44,0.372891,0.226955,0.335002,0.371415,0.309166
46,0.253702,0.211827,0.277451,0.294231,0.317361
48,0.260483,0.265787,0.156490,0.210289,0.357253
50,0.325371,0.312715,0.215667,0.259787,0.263059
52,0.404601,0.278949,0.390047,0.303767,0.375850
54,0.300978,0.200670,0.378648,0.351567,0.406384
56,0.248801,0.169547,0.200772,0.226158,0.259966
58,0.209424,0.216181,0.309807,0.184433,0.297598
60,0.244450,0.409342,0.383445,0.237512,0.318636
