t_s,seed1,seed2,seed3,seed4,seed5
2,0.311181,0.597666,0.327960,0.452436,0.867732
4,0.447305,0.529113,0.447016,0.432214,0.425896
6,0.388915,0.472992,0.401912,0.422779,0.499040
8,0.353342,0.534816,0.443499,0.462393,0.489380
10,0.325073,0.522630,0.286229,0.448608,0.423257
12,0.391284,0.518708,0.452497,0.429305,0.398831
14,0.379835,0.510171,0.384466,0.441604,0.452788
16,0.306982,0.491157,0.569317,0.414836,0.500351
18,0.447133,0.468951,0.611984,0.507355,0.487117
20,0.321145,0.461754,0.603651,0.465708,0.501636
22,0.409920,0.429497,0.718162,0.461200,0.496017
24,0.405019,0.447002,0.996265,0.418993,0.495184
26,0.373559,0.420520,0.979558,0.456133,0.483285
28,0.403394,0.426389,0.937708,0.425740,0.489340
30,0.386330,0.352298,0.668121,0.417282,0.471663
32,0.331989,0.349978,0.467413,0.481463,0.553828
34,0.457965,0.523646,0.431308,0.454950,0.553004
36,0.452830,0.445712,0.545121,0.468573,0.549164
38,0.342724,0.480616,0.474760,0.447341,0.516515
40,0.382384,0.450266,0.544081,0.467529,0.490664
42,0.449039,0.422670,0.520631,0.489068,0.391676
44,0.343064,0.483771,0.502544,0.460047,0.513802
46,0.378957,0.458014,0.481855,0.421504,0.372409
48,0.405136,0.505701,0.391261,0.406208,0.409955
50,0.367707,0.470649,0.400594,0.465446,0.395698
52,0.398021,0.467397,0.406586,0.470209,0.364042
54,0.423212,0.474144,0.379179,0.437379,0.411047
56,0.388360,0.449562,0.420449,0.421753,0.416454
58,0.399930,0.445019,0.420047,0.439383,0.418565
60,0.429750,0.434670,0.419674,0.427878,0.468456
