t_s,seed1,seed2,seed3,seed4,seed5
2,0.293142,0.608168,0.325120,0.526989,0.821169
4,0.351374,0.680012,0.402918,0.603612,0.674293
6,0.412179,0.594028,0.466840,0.662004,0.623244
8,0.360686,0.512943,0.434894,0.535183,0.473037
10,0.475058,0.340728,0.398401,0.430988,0.432622
12,0.388751,0.516125,0.378023,0.436390,0.450796
14,0.457000,0.493466,0.441352,0.357312,0.406811
16,0.319745,0.564676,0.463213,0.423330,0.461938
18,0.504202,0.541132,0.375524,0.491603,0.410392
20,0.346781,0.490990,0.344658,0.368774,0.368716
22,0.293519,0.443258,0.317265,0.377083,0.321203
24,0.330200,0.491752,0.433320,0.314781,0.338611
26,0.322740,0.477936,0.367970,0.385303,0.439352
28,0.363494,0.499368,0.492442,0.381543,0.408695
30,0.289816,0.478448,0.389552,0.453983,0.461249
32,0.303593,0.476902,0.431556,0.555535,0.601538
34,0.260286,0.435197,0.403633,0.455107,0.438535
36,0.311646,0.485261,0.398365,0.347229,0.317766
38,0.430351,0.407996,0.306319,0.426084,0.481871
40,0.390357,0.423058,0.505304,0.373502,0.387299
42,0.395534,0.471338,0.351192,0.410150,0.386572
44,0.331213,0.372200,0.451857,0.400995,0.456277
46,0.436278,0.392827,0.397964,0.390788,0.548184
48,0.488170,0.454262,0.439775,0.373082,0.510168
50,0.454973,0.472077,0.741614,0.499706,0.516763
52,0.477046,0.323342,0.637188,0.376048,0.431501
54,0.446571,0.348929,0.525269,0.363326,0.437044
56,0.500976,0.411148,0.419027,0.400810,0.378186
58,0.394182,0.462477,0.497833,0.465180,0.341335
60,0.418839,0.390891,0.494357,0.476190,0.472924
