t_s,seed1,seed2,seed3,seed4,seed5
2,0.170303,0.230430,0.237196,0.215855,0.732543
4,0.176098,0.166929,0.134967,0.202375,0.151547
6,0.169896,0.197870,0.109559,0.205256,0.170755
8,0.191069,0.220310,0.117049,0.184969,0.228467
10,0.202904,0.221098,0.111050,0.181434,0.173254
12,0.194996,0.228543,0.117004,0.185395,0.164990
14,0.205443,0.196691,0.122907,0.194389,0.158315
16,0.203184,0.183886,0.117141,0.185271,0.135215
18,0.198314,0.200897,0.118694,0.212257,0.155371
20,0.194637,0.187856,0.125844,0.214777,0.155077
22,0.196402,0.192970,0.118212,0.217942,0.151575
24,0.190806,0.188648,0.109884,0.202813,0.128385
26,0.186431,0.190136,0.128563,0.193423,0.151738
28,0.159058,0.192172,0.161385,0.180542,0.152432
30,0.159721,0.190821,0.166073,0.165266,0.155690
32,0.166203,0.190010,0.188193,0.164043,0.165366
34,0.159630,0.186613,0.177239,0.165882,0.127052
36,0.160156,0.189501,0.182567,0.160314,0.126697
38,0.158239,0.186988,0.173268,0.153716,0.136968
40,0.153454,0.185679,0.160208,0.157681,0.177253
42,0.152289,0.185906,0.177728,0.138077,0.166050
44,0.155985,0.184526,0.171885,0.140440,0.160708
46,0.166195,0.185544,0.166606,0.141679,0.163854
48,0.153750,0.178718,0.179783,0.142256,0.161768
50,0.160076,0.173631,0.172839,0.150422,0.155488
52,0.158209,0.172969,0.155088,0.135215,0.160128
54,0.151869,0.165905,0.171189,0.138310,0.147148
56,0.167252,0.173247,0.172988,0.144685,0.134837
58,0.156163,0.173263,0.155773,0.141612,0.116911
60,0.157373,0.175282,0.149985,0.152858,0.156361
