t_s,seed1,seed2,seed3,seed4,seed5
2,0.250915,0.533447,0.298403,0.335769,0.390331
4,0.268811,0.784395,0.314387,0.360134,0.445741
6,0.319907,0.684582,0.345980,0.335772,0.615833
8,0.335739,0.582449,0.329793,0.364675,0.705548
10,0.365578,0.455888,0.333974,0.351054,0.615976
12,0.447655,0.374748,0.333083,0.350080,0.444896
14,0.541616,0.327060,0.396150,0.354080,0.373146
16,0.406253,0.341439,0.425895,0.359342,0.335922
18,0.367687,0.337634,0.396010,0.393415,0.354792
20,0.352053,0.333460,0.365666,0.364835,0.345354
22,0.350590,0.335695,0.349696,0.369000,0.339078
24,0.368088,0.338560,0.342325,0.369288,0.387620
26,0.384274,0.349892,0.344069,0.368259,0.466338
28,0.387141,0.353552,0.355644,0.367753,0.364986
30,0.393951,0.341988,0.363576,0.367309,0.344591
32,0.395823,0.347043,0.384535,0.369004,0.360393
34,0.376911,0.402767,0.451292,0.374337,0.361408
36,0.364531,0.488641,0.371855,0.380605,0.367552
38,0.384129,0.370727,0.365986,0.382639,0.370065
40,0.492440,0.339690,0.371118,0.388379,0.376707
42,0.567488,0.347828,0.375311,0.390317,0.372863
44,0.546868,0.346541,0.365433,0.380878,0.361503
46,0.549991,0.344321,0.361361,0.380421,0.351965
48,0.427595,0.370895,0.404127,0.423241,0.381249
50,0.354241,0.357107,0.478321,0.517957,0.468451
52,0.364200,0.353621,0.363754,0.422720,0.493081
54,0.362920,0.354201,0.361307,0.382623,0.398392
56,0.368395,0.349271,0.363658,0.382814,0.363187
58,0.376605,0.342825,0.365898,0.387189,0.360741
60,0.385134,0.336828,0.359192,0.388024,0.354708
