t_s,seed1,seed2,seed3,seed4,seed5
2,0.402467,0.746589,0.444312,0.552325,0.531590
4,0.407656,0.983525,0.537349,0.534352,0.586746
6,0.460189,0.978648,0.533093,0.441892,0.739222
8,0.485069,0.736587,0.592122,0.509246,0.808337
10,0.744110,0.535079,0.751839,0.514828,0.594110
12,0.785562,0.504306,0.776856,0.551286,0.526344
14,0.803326,0.498273,0.766626,0.539237,0.592322
16,0.700794,0.513623,0.792275,0.541123,0.632969
18,0.599338,0.527475,0.766137,0.538340,0.636982
20,0.541729,0.533911,0.658479,0.527156,0.642159
22,0.555017,0.508483,0.585973,0.528021,0.649563
24,0.554748,0.468751,0.576792,0.531635,0.662049
26,0.532714,0.464604,0.571587,0.531507,0.674046
28,0.519156,0.527460,0.526228,0.531488,0.685863
30,0.513645,0.523656,0.559829,0.536244,0.691875
32,0.518495,0.545145,0.669007,0.538308,0.649989
34,0.510532,0.555146,0.623830,0.539584,0.650864
36,0.505618,0.557830,0.478937,0.544722,0.651001
38,0.504134,0.557907,0.476384,0.546978,0.651686
40,0.463107,0.551138,0.500354,0.534644,0.651882
42,0.446506,0.536952,0.496977,0.498593,0.670890
44,0.471698,0.541969,0.537079,0.492045,0.736279
46,0.509067,0.539585,0.552066,0.521921,0.869258
48,0.543382,0.544176,0.578576,0.515736,0.792635
50,0.509071,0.548715,0.558544,0.530622,0.805012
52,0.513826,0.548077,0.549922,0.530235,0.845100
54,0.534857,0.547284,0.549398,0.505896,0.734393
56,0.560179,0.549417,0.572650,0.496810,0.664106
58,0.549277,0.551301,0.574952,0.498069,0.646905
60,0.532762,0.552974,0.591601,0.529209,0.650156
