t_s,seed1,seed2,seed3,seed4,seed5
2,0.530055,0.523578,0.495085,0.486685,0.431280
4,0.576942,0.669575,0.588266,0.538053,0.558178
6,0.650868,0.642646,0.732251,0.650471,0.746534
8,0.693953,0.652994,0.769643,0.728981,0.706149
10,0.764510,0.648895,0.744608,0.669858,0.669159
12,0.709947,0.688693,0.745109,0.713101,0.650988
14,0.714379,0.684782,0.730117,0.704222,0.669984
16,0.742655,0.704286,0.673395,0.678512,0.737942
18,0.778641,0.741447,0.679238,0.781543,0.839831
20,0.792384,0.782366,0.728023,0.825812,0.864670
22,0.817600,0.806665,0.753330,0.858082,0.851760
24,0.844361,0.839234,0.805306,0.881326,0.843473
26,0.865589,0.849865,0.880073,0.893908,0.860047
28,0.890826,0.833505,0.896770,0.905245,0.874154
30,0.909112,0.816131,0.879788,0.902194,0.887506
32,0.934140,0.809541,0.892959,0.918314,0.911399
34,0.961687,0.791893,0.898420,0.922096,0.900961
36,0.967079,0.792159,0.900007,0.922871,0.920001
38,0.966785,0.803860,0.914883,0.914815,0.919991
40,0.978296,0.823759,0.893524,0.907630,0.900995
42,0.991337,0.838398,0.908822,0.896492,0.917282
44,0.996442,0.863481,0.918200,0.891706,0.910347
46,0.998841,0.867365,0.880796,0.882444,0.902101
48,1.004543,0.862400,0.900541,0.857767,0.919048
50,1.003802,0.858737,0.899545,0.827993,0.907976
52,1.001971,0.866587,0.886146,0.811725,0.895165
54,1.006442,0.867256,0.896083,0.791733,0.919797
56,1.004083,0.882499,0.876149,0.778964,0.910871
58,1.003997,0.882738,0.869050,0.779141,0.909494
60,1.007082,0.879083,0.885339,0.787411,0.922137
