t_s,seed1,seed2,seed3,seed4,seed5
2,0.243529,0.734544,0.266855,0.410241,0.464916
4,0.188006,1.023144,0.231782,0.389406,0.438643
6,0.192499,0.863343,0.175640,0.276868,0.596164
8,0.224258,0.615338,0.237989,0.288103,0.690508
10,0.254010,0.342986,0.331466,0.248337,0.497479
12,0.290620,0.226603,0.296439,0.248046,0.295745
14,0.389232,0.199662,0.271580,0.282020,0.209559
16,0.388990,0.200874,0.284311,0.289755,0.212332
18,0.266574,0.184362,0.266254,0.255400,0.264431
20,0.225120,0.179993,0.217415,0.240809,0.296617
22,0.225884,0.219483,0.204664,0.239682,0.304029
24,0.234826,0.309753,0.200732,0.253159,0.227462
26,0.210997,0.339623,0.213479,0.293940,0.219696
28,0.208780,0.248891,0.220245,0.328374,0.218889
30,0.207481,0.223053,0.192930,0.271595,0.212834
32,0.204044,0.212840,0.192535,0.243936,0.209823
34,0.206864,0.206346,0.190490,0.228665,0.210156
36,0.221520,0.205152,0.188360,0.218718,0.211648
38,0.258224,0.202119,0.188630,0.217318,0.254343
40,0.318499,0.199949,0.216690,0.217689,0.358633
42,0.264941,0.199208,0.319475,0.219068,0.512618
44,0.214925,0.198785,0.515598,0.217553,0.508185
46,0.204240,0.198153,0.531793,0.218142,0.504961
48,0.203135,0.198333,0.594374,0.227268,0.416214
50,0.208632,0.198813,0.456767,0.266999,0.271190
52,0.236725,0.198219,0.292305,0.359786,0.247078
54,0.299226,0.199244,0.246135,0.366163,0.239663
56,0.418765,0.198748,0.203126,0.281462,0.225352
58,0.376264,0.199828,0.196654,0.232093,0.215123
60,0.267373,0.199978,0.201056,0.236873,0.217030
