t_s,seed1,seed2,seed3,seed4,seed5
2,0.326071,0.681422,0.264938,0.435385,0.323102
4,0.173636,0.270397,0.172095,0.165724,0.184671
6,0.130245,0.202448,0.192754,0.166601,0.143218
8,0.152972,0.169910,0.172285,0.147256,0.137577
10,0.133463,0.127779,0.155695,0.156315,0.135839
12,0.138829,0.141089,0.156706,0.156769,0.139414
14,0.138979,0.136682,0.165906,0.156665,0.133793
16,0.129353,0.126579,0.155902,0.155205,0.138987
18,0.143200,0.132821,0.158902,0.151393,0.130452
20,0.141646,0.134789,0.166987,0.160471,0.147645
22,0.139483,0.126629,0.155546,0.159391,0.141472
24,0.136977,0.130226,0.162134,0.160956,0.141497
26,0.141246,0.127473,0.161133,0.166531,0.140555
28,0.140354,0.130090,0.159999,0.170429,0.138538
30,0.143388,0.135154,0.161712,0.157809,0.139251
32,0.139710,0.132988,0.168932,0.152261,0.140870
34,0.138628,0.125066,0.157858,0.153349,0.140781
36,0.145989,0.123773,0.162163,0.150405,0.140678
38,0.141602,0.127031,0.159507,0.150495,0.145498
40,0.146823,0.136402,0.158909,0.150926,0.145094
42,0.144796,0.137169,0.161469,0.151956,0.142279
44,0.151634,0.129035,0.164839,0.153726,0.152104
46,0.148765,0.127615,0.169028,0.157289,0.148590
48,0.141748,0.132031,0.159476,0.153905,0.151249
50,0.151254,0.137239,0.168949,0.152538,0.140289
52,0.153814,0.137781,0.174338,0.152394,0.139242
54,0.156661,0.127776,0.157555,0.148530,0.137764
56,0.148370,0.130567,0.163134,0.155356,0.148780
58,0.159888,0.132028,0.157832,0.152188,0.141676
60,0.155195,0.140615,0.164155,0.148621,0.138087
