t_s,seed1,seed2,seed3,seed4,seed5
2,0.598052,0.940444,0.546064,0.688543,0.476549
4,0.563294,0.537428,0.430537,0.365152,0.302865
6,0.520931,0.389401,0.417586,0.330420,0.292014
8,0.486509,0.412560,0.442860,0.214416,0.270508
10,0.395676,0.351680,0.422301,0.158267,0.273165
12,0.401461,0.282385,0.414874,0.158659,0.291557
14,0.390229,0.280350,0.412108,0.103018,0.268677
16,0.381691,0.276097,0.403328,0.141731,0.255255
18,0.381101,0.270324,0.398461,0.159476,0.248989
20,0.394419,0.257042,0.401737,0.176081,0.238385
22,0.385750,0.245813,0.400636,0.227888,0.256390
24,0.380599,0.229363,0.397371,0.195389,0.243342
26,0.384362,0.229777,0.402129,0.213159,0.234718
28,0.379681,0.237700,0.408363,0.183772,0.247162
30,0.383611,0.228458,0.402499,0.150958,0.243137
32,0.372839,0.209173,0.403965,0.180165,0.255295
34,0.376230,0.224789,0.402642,0.164438,0.242400
36,0.381459,0.235765,0.400908,0.181325,0.254813
38,0.379612,0.206153,0.397292,0.132143,0.241005
40,0.382564,0.237046,0.404651,0.180413,0.252532
42,0.374142,0.250665,0.400376,0.122568,0.230550
44,0.381817,0.230500,0.407072,0.134237,0.241495
46,0.372335,0.242561,0.393322,0.143265,0.248447
48,0.382872,0.229992,0.416430,0.134852,0.236080
50,0.371734,0.229998,0.399141,0.163254,0.255176
52,0.380654,0.233984,0.407378,0.117728,0.235922
54,0.383335,0.229206,0.394892,0.152343,0.253771
56,0.371690,0.231444,0.402789,0.118366,0.234644
58,0.375405,0.238602,0.395544,0.146486,0.251553
60,0.381866,0.238700,0.401555,0.147237,0.235234
