t_s,seed1,seed2,seed3,seed4,seed5
2,0.341500,0.792365,0.439241,0.503231,0.419959
4,0.422000,0.829717,0.305448,0.345141,0.350312
6,0.297925,0.361886,0.342267,0.293039,0.359646
8,0.299401,0.279860,0.292704,0.392095,0.307089
10,0.262534,0.283786,0.273337,0.256063,0.301888
12,0.316141,0.298175,0.329588,0.286327,0.297169
14,0.289788,0.303453,0.335811,0.365752,0.238532
16,0.352666,0.269740,0.320016,0.256342,0.272042
18,0.296005,0.263877,0.329703,0.289318,0.291599
20,0.352027,0.316298,0.351602,0.304114,0.316195
22,0.346174,0.319614,0.401494,0.375031,0.300727
24,0.339102,0.246070,0.309818,0.284483,0.290041
26,0.341965,0.282880,0.291153,0.248034,0.263133
28,0.303850,0.235748,0.273319,0.252326,0.300239
30,0.327839,0.319829,0.292425,0.396875,0.296688
32,0.300011,0.323894,0.329014,0.338357,0.315810
34,0.333274,0.282091,0.351471,0.318750,0.362279
36,0.304436,0.337381,0.345331,0.290186,0.342179
38,0.312338,0.270943,0.380111,0.373413,0.303652
40,0.306952,0.294634,0.351167,0.254023,0.406784
42,0.293314,0.293393,0.414358,0.256643,0.330753
44,0.247112,0.239223,0.331842,0.272433,0.251816
46,0.308540,0.300187,0.350650,0.378499,0.325199
48,0.308329,0.271768,0.348234,0.461518,0.305583
50,0.320425,0.302996,0.354809,0.405529,0.274655
52,0.366837,0.344388,0.279670,0.274857,0.311357
54,0.335037,0.309342,0.266586,0.291531,0.310178
56,0.295303,0.291566,0.323893,0.268472,0.303566
58,0.286276,0.373352,0.269828,0.309413,0.252386
60,0.283716,0.271051,0.273479,0.309034,0.289111
