t_s,seed1,seed2,seed3,seed4,seed5
2,0.293334,0.660415,0.232061,0.365416,0.430256
4,0.098142,0.182667,0.098333,0.120194,0.212098
6,0.090983,0.093781,0.100591,0.100876,0.180215
8,0.086711,0.078074,0.109136,0.076821,0.105336
10,0.086729,0.082722,0.101353,0.073085,0.099490
12,0.085086,0.087075,0.102636,0.074200,0.096493
14,0.084358,0.079760,0.104977,0.080922,0.100951
16,0.084891,0.077786,0.109343,0.087091,0.097802
18,0.087287,0.080241,0.113225,0.088477,0.103628
20,0.085454,0.082603,0.117180,0.092356,0.100798
22,0.087924,0.083984,0.119796,0.090281,0.100388
24,0.088011,0.084125,0.107308,0.091785,0.104509
26,0.089894,0.083836,0.103430,0.090976,0.101220
28,0.092932,0.085681,0.108052,0.092229,0.102097
30,0.092551,0.085795,0.114496,0.090275,0.098887
32,0.087061,0.084605,0.122363,0.092596,0.095204
34,0.091810,0.084264,0.119414,0.090823,0.094350
36,0.094318,0.083884,0.115608,0.091923,0.096388
38,0.089766,0.083389,0.121759,0.091525,0.096565
40,0.078472,0.083688,0.124365,0.092538,0.096126
42,0.078616,0.083493,0.127138,0.096566,0.095538
44,0.077557,0.082577,0.119642,0.094448,0.102812
46,0.079874,0.082239,0.122529,0.091794,0.099216
48,0.079195,0.082809,0.115291,0.090311,0.097871
50,0.079748,0.082528,0.115833,0.092499,0.099032
52,0.083089,0.083072,0.111073,0.098979,0.098071
54,0.080534,0.082988,0.112081,0.094130,0.097326
56,0.080729,0.083151,0.110969,0.095906,0.095975
58,0.082337,0.083157,0.111439,0.094954,0.098791
60,0.082426,0.083153,0.110645,0.091070,0.098193
