t_s,seed1,seed2,seed3,seed4,seed5
2,0.824931,0.793712,0.251465,0.301665,1.145688
4,0.502231,1.010830,1.227719,0.319857,0.364452
6,0.291006,0.724140,0.250535,0.939621,0.340448
8,0.566665,0.297972,0.333208,0.694229,0.929365
10,0.437757,0.978376,0.775311,0.408496,0.509265
12,0.706041,0.250396,0.650090,0.599063,0.312157
14,0.342100,0.326632,0.310199,0.343102,0.541668
16,0.588676,0.208201,0.576114,0.350854,0.251446
18,0.296010,1.016125,0.243131,0.594250,0.378529
20,0.232414,0.578209,0.842135,0.774328,0.401381
22,1.233494,0.324358,0.265089,0.313136,0.463055
24,0.542878,0.262763,0.640695,0.385792,1.023126
26,0.393893,0.630737,0.266854,0.565395,0.766994
28,0.465604,0.336893,0.763206,0.877524,0.765213
30,0.526175,0.964672,0.273770,0.299650,0.267173
32,0.442783,0.196507,0.603679,0.660137,0.595836
34,0.384588,0.965194,0.382548,0.321785,0.344709
36,0.337542,0.500871,0.336486,0.765297,0.344330
38,0.465469,0.466428,0.894130,0.248418,0.597234
40,0.441032,0.236242,0.745121,0.696672,0.359010
42,0.462829,0.714087,0.269761,0.240307,0.453486
44,0.297779,0.638170,0.308470,0.336172,0.329828
46,0.355895,0.480717,0.576016,0.308526,0.381539
48,0.308090,0.353963,0.852275,0.688809,0.465508
50,0.685291,0.551852,0.520462,1.014597,0.686720
52,0.908724,0.411407,0.745556,0.767986,0.848325
54,0.949680,0.426516,0.313257,0.577545,0.284011
56,0.717546,0.740495,0.326638,0.770006,0.319438
58,0.405639,0.262511,0.699835,0.281127,1.053168
60,0.441800,0.329594,0.437439,0.338029,0.420835
