t_s,seed1,seed2,seed3,seed4,seed5
2,0.623687,0.715204,0.408141,0.476455,0.703615
4,0.386127,0.639556,0.598625,0.534072,0.474946
6,0.238154,0.571248,1.193012,0.525438,0.523780
8,0.346729,0.559340,0.323915,0.575210,0.397320
10,0.262941,0.601891,0.497260,0.535529,0.600159
12,0.268780,0.551649,0.386454,0.503637,0.436920
14,0.611940,0.573033,0.362454,0.511927,0.556985
16,0.359978,0.457343,0.457408,0.435529,0.450630
18,0.522850,0.452923,0.341502,0.741571,0.423593
20,0.517734,0.602865,0.642310,0.669848,0.538278
22,0.500042,0.602835,0.376835,0.541583,0.453530
24,0.499068,0.530670,0.549844,0.594449,0.420873
26,0.494707,0.557899,0.497638,0.528786,0.431645
28,0.511897,0.489962,0.391452,0.531953,0.616050
30,0.510092,1.226334,0.453510,0.449254,1.000801
32,0.500271,0.520501,0.604895,0.457423,0.525660
34,0.504243,0.490655,0.390045,0.564324,0.583116
36,0.497394,0.530850,0.527575,0.500087,0.549701
38,0.511317,0.415455,0.514028,0.568015,0.478137
40,0.477445,0.446663,0.473217,0.490767,0.952077
42,0.504414,0.572679,0.446589,0.538784,0.513798
44,0.505237,0.538706,0.925608,0.490372,0.476395
46,0.493635,0.485028,0.541103,0.566234,0.548979
48,0.496520,0.424569,0.464862,0.482488,0.553998
50,0.507741,0.537354,0.491742,0.447864,0.529911
52,0.496565,0.409631,0.506572,0.477262,0.454024
54,0.511688,0.600061,0.517257,0.442654,0.455126
56,0.505840,0.753575,0.450602,0.452479,1.232737
58,0.491788,0.471241,0.352985,0.580331,0.413750
60,0.522426,0.634192,0.420206,0.456613,0.452302
