t_s,seed1,seed2,seed3,seed4,seed5
2,0.991695,0.480211,0.426882,0.568032,0.954838
4,0.667573,0.942307,0.833217,0.531240,1.032493
6,0.811202,0.758821,0.761720,0.575366,1.146764
8,0.604392,0.838291,0.755691,0.529391,0.951814
10,0.692581,0.826716,0.818143,0.630472,0.623640
12,1.051066,0.952258,0.794938,0.836649,0.671020
14,0.618895,0.912883,0.582865,0.942800,0.823190
16,0.540647,0.988039,0.545435,0.746913,1.092054
18,0.726114,1.057072,0.848686,0.778224,0.929547
20,0.874619,0.898247,0.406177,0.761007,0.886726
22,0.677272,1.096669,0.734059,1.035720,1.016723
24,0.800694,0.869744,0.634598,0.982642,1.097795
26,0.897015,0.940179,0.889044,1.022192,0.641987
28,0.910390,1.108401,0.996237,0.995794,0.829182
30,1.051256,0.920995,0.867744,1.130650,0.824430
32,0.984125,0.990357,0.722854,1.175714,0.792998
34,1.026108,1.108331,0.608502,0.998402,0.512421
36,0.751767,1.052929,0.814495,1.102659,0.619972
38,0.578473,0.941144,0.843247,1.086791,0.803031
40,0.484363,1.063086,0.909240,1.033261,0.816298
42,0.656809,1.032378,1.040425,1.057827,0.875625
44,0.735316,0.946818,0.708027,0.931836,0.789899
46,0.696555,1.093992,0.585197,0.851459,1.050730
48,0.591032,0.944850,0.797034,0.896478,0.729681
50,0.760496,1.061642,0.869487,1.059211,0.940099
52,0.954289,1.038991,0.825428,0.999165,0.774025
54,1.189671,1.021106,1.044184,0.854343,1.094662
56,1.057598,0.910018,0.757407,0.858662,0.911121
58,0.901809,0.993322,0.665440,0.941624,0.711831
60,0.569381,0.967955,0.664093,1.060608,0.926846
