t_s,seed1,seed2,seed3,seed4,seed5
2,0.403637,0.215904,0.198485,0.328024,0.398691
4,0.319439,0.354272,0.138027,0.247326,0.208090
6,0.260755,0.230926,0.146257,0.189862,0.170858
8,0.375358,0.215013,0.116218,0.172800,0.149115
10,0.231987,0.208967,0.140021,0.189778,0.160063
12,0.240062,0.209539,0.126158,0.187224,0.144402
14,0.217690,0.210145,0.131572,0.186919,0.153027
16,0.217753,0.209217,0.130989,0.187164,0.152499
18,0.195589,0.208907,0.130037,0.188442,0.149466
20,0.265995,0.207748,0.144106,0.184014,0.155962
22,0.210785,0.208992,0.137727,0.187274,0.170420
24,0.194152,0.209353,0.122742,0.187855,0.158945
26,0.195149,0.209843,0.131035,0.187283,0.160388
28,0.196254,0.209654,0.141171,0.187413,0.165580
30,0.196972,0.208067,0.141128,0.186984,0.153071
32,0.194621,0.209458,0.120567,0.186253,0.148082
34,0.196919,0.208698,0.136446,0.188416,0.146017
36,0.197473,0.209873,0.143613,0.187427,0.161310
38,0.197781,0.209866,0.144082,0.188691,0.126273
40,0.198884,0.208106,0.147017,0.185845,0.150747
42,0.197180,0.209481,0.143357,0.186933,0.211798
44,0.196957,0.208090,0.148119,0.188629,0.189519
46,0.198442,0.208904,0.139010,0.185193,0.229675
48,0.199646,0.208802,0.149505,0.188259,0.222788
50,0.195724,0.208700,0.146217,0.188236,0.228193
52,0.196706,0.209793,0.150069,0.187345,0.217404
54,0.198493,0.209808,0.149816,0.184545,0.219957
56,0.199443,0.209254,0.147976,0.186880,0.227472
58,0.199794,0.209108,0.149757,0.186863,0.218353
60,0.199862,0.210133,0.147539,0.188114,0.207433
